"","ASV","we.ep","we.eBH","wi.ep","wi.eBH","log2FC"
"1","Actinomycetaceae",0.0213381178848017,0.0760071812402013,0.000865183197318985,0.0107672104674264,-2.37345839552744
"2","Burkholderiaceae",8.35928888391426e-06,0.000131937860909017,2.70470318890132e-09,1.23539145655222e-07,-3.58786742488858
"3","Clostridiaceae 1",0.114213583437944,0.288805001282445,0.0371082292292491,0.167128332238852,3.12223876135455
"4","Corynebacteriaceae",0.0435013147668328,0.15514843270221,0.0142674764099764,0.0956302964838314,-1.5946450541185
"5","Fusobacteriaceae",0.0112571128651262,0.0793340902160612,0.0450237076050378,0.211157065724834,2.4852100598284
"6","Mycoplasmataceae",0.0134119665636331,0.0792581012017162,0.0310933161056664,0.131198509967677,6.0359622131772
"7","Propionibacteriaceae",2.10075902870166e-05,0.000334970121798633,3.03639482997266e-07,7.89902170061088e-06,-2.87281546368462
"8","Pseudomonadaceae",2.4898257101156e-11,2.2097840171031e-09,2.33920275796871e-09,1.16609866652125e-07,-7.17688167292368
"9","Sphingobacteriaceae",3.99507685947825e-05,0.000602290093185366,0.000204036119912829,0.00353909077683525,-2.1987798641145
"10","Sphingomonadaceae",1.75619875514363e-08,6.07430584822431e-07,7.62068398494493e-09,2.55314234354126e-07,-4.07475328256664
"11","Staphylococcaceae",7.01125255151613e-05,0.00109186987324163,0.000393876349288408,0.0063733727954876,-2.06316002348948
"12","Weeksellaceae",0.0380704564893157,0.157768967791163,0.028950298445254,0.141184856439344,4.80338601985466
"13","Xanthobacteraceae",2.07326751105471e-08,7.10883242800474e-07,9.04613566558211e-09,3.09045843538144e-07,-4.57923800672026
